Company,Last day Open,Begin day Close,Last day Close,Average Price,Average Performance,Volume,Average Volume,Quarter High,Quarter Low,Performance 2023Q1,Performance 2023Q2,Relative 2023Q2,zip,sector,fullTimeEmployees,city,phone,state,country,industry,profitMargins,revenueGrowth,recommendationKey,totalCashPerShare,exchange
AITX,0.0065999999642372,0.0055999998003244,0.0063000000081956,0.007634193568880952,0.7202242510872642,21164100,31652674.080645163,0.0122999995946884,0.0054000001400709,-14.239587683487814,15.728756775999264,7.306111726973535,48220,Technology,97.0,Ferndale,(877) 787-6268,MI,United States,Computer Hardware,,2.479,none,,PNK
AKTS,3.0,2.789999961853028,3.0799999237060547,3.4891129155312814,0.2497096425169909,439900,820330.6451612903,4.954999923706055,2.619999885559082,-3.3552439042341,-9.319449974251752,-17.74209502327748,28078,Technology,117.0,Huntersville,704 997 5735,NC,United States,Communication Equipment,,-0.297,hold,0.158,NCM
ALCO,24.030000686645508,23.82999992370605,24.200000762939453,25.631290343499952,0.026690057782627504,42500,45448.3870967742,28.06999969482422,23.420000076293945,-2.713205534822968,-1.5135496230677972,-9.936194672093526,33913,Consumer Defensive,194.0,Fort Myers,239 226 2000,FL,United States,Farm Products,0.56129,0.868,buy,1.194,NMS
ALDS,0.0164500009268522,0.0184000004082918,0.0164500009268522,0.015142580779689895,1.9826418151232579,0,86294.85483870968,0.0498999990522861,0.0089999996125698,-18.73990854537425,12.33940327730602,3.916758228280292,94111,Technology,1.0,San Francisco,(415) 439-5260,CA,United States,Software - Application,,,none,,OQB
ALGM,47.34999847412109,29.31999969482422,47.9900016784668,40.69064531018657,0.8401097010596158,969700,1549159.677419355,48.29999923706055,28.84000015258789,39.062568209644745,0.297484264761939,-8.12516078426379,03103,Technology,4593.0,Manchester,603 626 2300,NH,United States,Semiconductors,-0.029560002,-0.32,buy,1.026,NMS
ALID,0.2000000029802322,0.209999993443489,0.2000000029802322,0.2425766130608897,0.4232146329697208,1615,4583.5161290322585,0.4720000028610229,0.1800000071525573,13.18699978308412,-1.8603074078336173,-10.282952456859348,V1YOC2,Healthcare,,Kelowna,877-255-4337,BC,Canada,Drug Manufacturers - Specialty & Generic,,,none,0.001,OQB
ALMU,3.5999999046325684,3.5,3.5999999046325684,3.4610416293144226,1.7066616922471027,0,1166.6666666666667,4.0,2.009999990463257,,-14.625620418202672,-23.0482654672284,93117,Technology,11.0,Goleta,805 351 2707,CA,United States,Semiconductors,-2.78706,13.838,none,0.288,OQB
ALTX,0.1400000005960464,0.1230000033974647,0.1400000005960464,0.13412903285314956,0.7045473528469927,0,6593.548387096775,0.25,0.1000000014901161,18.056180628760707,7.936268531715727,-0.486376517310001,80206-4084,Energy,,Denver,303 265 9312,CO,United States,Oil & Gas E&P,23.31579,-0.25,none,0.237,PNK
ALZN,63.0,87.0,63.75,83.54032282675466,-0.4110769059394234,958,1496.1129032258063,110.5500030517578,46.650001525878906,-21.96466542643969,15.513585971904844,7.090940922879117,30326,Healthcare,4.0,Atlanta,844 722 6333,GA,United States,Biotechnology,,,buy,0.307,NCM
AMAT,120.03250723878472,95.3227081298828,121.32647705078124,113.28872766802388,0.4238118054225223,5016500,6586451.612903226,124.08232065606188,94.72158223179896,10.436346216088234,21.348153215579107,12.925508166553378,95052-8039,Technology,35200.0,Santa Clara,408 727 5555,CA,United States,Semiconductor Equipment & Materials,0.27743,0.055,buy,11.042,NMS
AMCCF,10.949999809265137,11.899999618530272,10.949999809265137,11.387903059682538,-0.13568673196378114,0,9.838709677419354,11.899999618530272,10.949999809265137,-6.532868190788559,-14.56737339199892,-22.99001844102465,8050,Consumer Cyclical,41000.0,Zurich,41 44 316 1717,,Switzerland,Packaging & Containers,0.056750003,-0.026,none,0.299,PNK
AMCR,10.38957326526478,10.927677154541016,10.547131538391112,10.543661502099805,-0.0863276430193797,6976800,8128785.483870967,11.340214024678126,9.805681093603273,-7.545020856349248,-10.79913220018502,-19.22177724921075,8050,Consumer Cyclical,41000.0,Zurich,41 44 316 1717,,Switzerland,Packaging & Containers,0.056750003,-0.026,hold,0.299,NYQ
AMRK,35.02000045776367,34.36000061035156,34.650001525878906,33.24911295983099,0.05945302830957902,218500,255346.7741935484,40.93199920654297,27.100000381469727,-19.21958767133957,9.719397830237437,1.2967527812117066,90245,Financial Services,482.0,El Segundo,310 587 1477,CA,United States,Capital Markets,0.0059100003,0.093,buy,2.024,NMS
AMSC,4.829999923706055,3.5799999237060547,4.909999847412109,5.023387097543286,0.6059231993221433,122900,185956.4516129032,6.610000133514404,3.5299999713897705,-0.0477582640179832,23.39246670588954,14.969821656863813,01432,Industrials,337.0,Ayer,978 842 3000,MA,United States,Specialty Industrial Machinery,-0.00491,0.602,buy,1.828,NMS
AMST,2.369999885559082,2.1600000858306885,2.609999895095825,3.249580637101204,1.1216621832256182,303100,379870.1612903226,9.347999572753906,1.559999942779541,-15.637375256934972,18.856616755765295,10.43397170673957,48226,Technology,9.0,Detroit,(734) 876-8130,MI,United States,Software - Application,,-0.774,buy,0.742,NCM
AMWD,50.540000915527344,49.31999969482422,52.06999969482422,54.11096794374527,0.06360639517492106,142400,112885.48387096774,60.77999877929688,48.7400016784668,-1.406886999503715,27.39652893026556,18.973883881239832,22602,Consumer Cyclical,8600.0,Winchester,540 665 9100,VA,United States,"Furnishings, Fixtures & Appliances",0.059720002,-0.079,buy,5.76,NMS
ANEB,2.940000057220459,2.2699999809265137,2.900000095367432,2.8513709768172233,0.6028143287965458,5100,5098.387096774193,3.430000066757202,2.240000009536743,1.29614893937517,-17.749522989148147,-26.17216803817388,78734,Healthcare,2.0,Lakeway,512 598 0931,TX,United States,Biotechnology,,,buy,0.119,NCM
ANGO,9.09000015258789,13.369999885559082,10.34000015258789,12.799516108728223,-0.526661906622953,1355000,373348.3870967742,15.960000038146973,8.600000381469727,-12.5078512873271,-17.653702841357482,-26.07634789038321,12110,Healthcare,748.0,Latham,518 795 1400,NY,United States,Medical Instruments & Supplies,-0.83023,-0.142,buy,1.354,NMS
ANIX,4.360000133514404,4.190000057220459,4.300000190734863,4.3780645247428644,0.18277165750452645,25800,53008.06451612903,5.110000133514404,3.7799999713897705,0.1510034740405686,-23.89191271924495,-32.314557768270674,95118,Healthcare,4.0,San Jose,408 708 9808,CA,United States,Biotechnology,,,buy,0.645,NCM
AOSL,26.71999931335449,29.31999969482422,26.950000762939453,29.034354825173654,-0.1009671004764481,176100,257541.93548387097,38.869998931884766,24.049999237060547,-16.76817648854709,2.191009101631965,-6.231635947393764,94085,Technology,2332.0,Sunnyvale,408 830 9742,CA,United States,Semiconductors,-0.0294,0.449,hold,6.972,NMS
AOUT,9.59000015258789,10.260000228881836,9.84000015258789,10.046129011338756,-0.07341900017060667,69600,30179.032258064515,11.25,8.899999618530273,-11.469140643870212,-23.14689131402753,-31.569536363053263,65202,Consumer Cyclical,289.0,Columbia,800 338 9585,MO,United States,Leisure,-0.05269,-0.041,buy,1.826,NMS
AOXY,0.2000000029802322,0.1620000004768371,0.2000000029802322,0.2927612926690809,8.668806431135724,0,188.43548387096774,0.6779999732971191,0.1519999951124191,-56.151968051754096,-39.69211885087767,-48.114763899903394,05060,Real Estate,2.0,Randolph,212 727 7085,VT,United States,Real Estate Services,0.097950004,0.024,none,0.027,PNK
APD,269.9075604811193,294.8609924316406,277.9795227050781,280.73124596380416,-0.14000172190955804,1487400,1150995.1612903227,308.6436438912943,253.8111195989195,-9.20724987386938,-1.713276802831516,-10.135921851857244,18106-5500,Basic Materials,23000.0,Allentown,610 481 4911,PA,United States,Specialty Chemicals,0.31636,-0.001,buy,13.408,NYQ
APDN,22.399999618530277,31.399999618530277,22.600000381469727,28.619354924848004,-0.412399135126205,3065,5694.919354838709,38.59999847412109,20.200000762939453,-27.47677990064869,-7.254728040962033,-15.67737308998776,11790,Healthcare,52.0,Stony Brook,631 240 8800,NY,United States,Diagnostics & Research,-2.1447701,-0.727,hold,1.014,NCM
APLD,2.240000009536743,1.840000033378601,2.240000009536743,2.4946774263535776,0.42026247128102057,577400,838175.8064516129,3.734999895095825,1.6100000143051147,-7.360712109042023,251.40005605042148,242.97741100139572,75219,Technology,150.0,Dallas,214 427 1704,TX,United States,Information Technology Services,-0.74811,0.671,buy,0.27,NMS
APPS,12.260000228881836,15.029999732971191,12.359999656677246,13.437419352992888,-0.22356166593396645,1673300,2378146.7741935486,18.770000457763672,9.130000114440918,-33.192724375239585,-34.43801791903978,-42.86066296806551,78701,Technology,754.0,Austin,512 387 7717,TX,United States,Software - Application,-0.61173,-0.171,hold,0.316,NCM
ARAT,1.0,0.699999988079071,1.0,0.8127580626356986,1.863578813073287,1000,3129.032258064516,1.2300000190734863,0.4050000011920929,30.788413977663904,0.8843748780110227,-7.538270171014706,32301,Technology,,Tallahassee,850 254 1161,FL,United States,Software - Infrastructure,,,none,,PNK
ARAY,2.940000057220459,2.069999933242798,2.970000028610229,2.7237096640371505,0.6356292495253952,222100,331054.8387096774,3.200000047683716,2.0199999809265137,24.045909400460676,39.49040798400054,31.06776293497481,53717-1954,Healthcare,987.0,Madison,608 824 2800,WI,United States,Medical Devices,-0.03721,0.168,strong_buy,1.157,NMS
ARKR,17.25,17.059999465942383,17.670000076293945,18.37032244282384,0.07732159840289077,5300,8708.064516129032,19.959999084472656,16.389999389648438,4.370497123795839,-0.3203228486018658,-8.742967897627594,10003,Consumer Cyclical,1401.0,New York,212 206 8800,NY,United States,Restaurants,-0.05312,-0.013,none,3.182,NGM
ARMK,25.10664214518675,29.277681350708008,25.39033317565918,27.911647950449296,-0.24784495588710004,2716401,5481019.354838709,32.332745004956,23.13499325967974,-19.976699158894853,2.81828444526818,-5.604360603757549,19103,Industrials,262550.0,Philadelphia,215 238 3000,PA,United States,Specialty Business Services,0.01732,0.08,buy,2.154,NYQ
ARRT,0.1899999976158142,0.1209999993443489,0.1899999976158142,0.15440322494795242,0.8953991589819591,0,72.58064516129032,0.1899999976158142,0.1209999993443489,55.99863578869204,-6.578148107828275,-15.000793156854003,98103-3442,Consumer Defensive,,Seattle,206 517 7141,WA,United States,Packaged Foods,,,none,,PNK
ARTH,3.5,5.400000095367432,3.5,4.623064537202159,-0.35009753991407266,600,1269.483870967742,7.0,3.0,-36.09193995017061,-34.023776288074274,-42.446421337100006,01702,Healthcare,8.0,Framingham,617 431 2313,MA,United States,Biotechnology,,1.326,hold,0.007,OQB
ARWR,24.59000015258789,38.5099983215332,25.399999618530277,31.45403212885703,-0.6719800627299922,1184500,1116640.322580645,41.02999877929688,23.09000015258789,-23.39942523618741,12.302859863484516,3.880214814458789,91105,Healthcare,525.0,Pasadena,626 304 3400,CA,United States,Biotechnology,,,buy,3.495,NMS
ASH,99.83893797798036,105.238037109375,100.0239715576172,100.90455947383758,-0.08088422633867735,350500,435958.06451612903,109.40212842661391,91.68782163124894,-8.531424070307514,-17.054451268141076,-25.477096317166804,19808,Basic Materials,3200.0,Wilmington,302 995 3000,DE,United States,Specialty Chemicals,0.07998,0.01,buy,6.122,NYQ
ASRE,0.1800000071525573,0.3400000035762787,0.1800500005483627,0.22546499967575073,1.2067570691015708,62411,33255.6129032258,0.4149999916553497,0.1300999969244003,-18.95273371699026,-18.27070669708423,-26.69335174610996,34236,Utilities,,Sarasota,800 705 2919,FL,United States,Utilities - Renewable,,,none,,OQB
ASTC,10.899999618530272,10.329999923706056,10.65999984741211,11.767903220268987,0.13784224449084892,2600,10743.548387096775,14.06999969482422,9.989999771118164,0.6771663798573927,0.7957251190118758,-7.626919930013853,78758,Technology,30.0,Austin,512 485 9530,TX,United States,Scientific & Technical Instruments,,-0.821,none,19.25,NCM
ASYS,9.229999542236328,7.980000019073486,9.539999961853027,9.393548373253115,0.30325984540026263,20500,47075.8064516129,11.4399995803833,7.809999942779541,-2.636060662797389,-0.8046468721256684,-9.227291921151396,85288,Technology,405.0,Tempe,480 967 5146,AZ,United States,Semiconductor Equipment & Materials,-0.19048999,-0.13,buy,0.927,NMS
ATAO,0.0900000035762786,0.3000000119209289,0.0509999990463256,0.18551612897746025,-1.378156511742532,3300,11871.290322580646,0.3000000119209289,0.0509999990463256,-49.004207583520376,-41.47003143714708,-49.8926764861728,15212,Basic Materials,,Pittsburgh,412 770 3140,PA,United States,Other Industrial Metals & Mining,,,none,,OQB
ATEX,30.32999992370605,33.779998779296875,33.040000915527344,32.76612906302175,-0.15944026428779423,641200,134941.93548387097,39.15999984741211,27.59000015258789,-15.749363226267477,-0.0696026581984798,-8.492247707224209,07424,Communication Services,86.0,Woodland Park,973 771 0300,NJ,United States,Telecom Services,,1.508,buy,2.781,NCM
ATGE,37.54999923706055,35.61000061035156,38.619998931884766,38.28080632609706,0.10961845108589703,378300,246062.90322580645,43.90999984741211,35.0,0.9659243967446908,1.3347244420016735,-7.087920607024055,60661,Consumer Defensive,4624.0,Chicago,312 651 1400,IL,United States,Education & Training Services,0.105500005,0.132,strong_buy,7.063,NYQ
ATIF,1.7200000286102295,2.359999895095825,2.150000095367432,2.421225805436411,-0.32464237653965705,1700,4853.225806451613,2.869999885559082,1.7200000286102295,-15.87202855565636,-34.16939121844429,-42.59203626747002,92630,Financial Services,13.0,Lake Forest,308 888 8888,CA,United States,Capital Markets,,1.0,none,0.198,NCM
ATKR,139.48612236036217,113.96891784667967,139.42657470703125,134.47095329530777,0.3632384452654396,613200,436646.77419354836,153.6987432220752,112.0930911312362,15.861965780599046,3.972305100192461,-4.450339948833268,60426,Industrials,4816.0,Harvey,708 339 1610,IL,United States,Electrical Equipment & Parts,0.16465999,-0.105,buy,8.467,NYQ
ATO,107.91543385662575,106.1347427368164,107.92504119873048,108.89481796756867,0.031108863321029905,1245300,816966.1290322581,115.90830122478778,101.60475473232783,-1.6558728878962048,2.993454964493349,-5.42919008453238,75240,Utilities,5019.0,Dallas,972 934 9227,TX,United States,Utilities - Regulated Gas,0.2509,0.059,buy,6.108,NYQ
ATXG,1.0399999618530271,1.0800000429153442,1.0099999904632568,1.3275161347081583,0.2339226136246305,41900,440514.51612903224,2.25,0.9700000286102296,-30.385187353260047,-45.25428000269798,-53.676925051723714,518000,Industrials,112.0,Shenzhen,86 75 5823 30336,,China,Integrated Freight & Logistics,-0.32345,-0.191,none,3.167,NCM
AUSI,0.270000010728836,0.2560000121593475,0.2509999871253967,0.26512903215423705,0.5123142237254192,9600,4735.4838709677415,0.4000000059604645,0.1899999976158142,17.930203033548835,-32.89181715874704,-41.31446220777276,92630,Industrials,11.0,Lake Forest,310 643 5300,CA,United States,Specialty Industrial Machinery,,,none,,PNK
AVAI,1.1799999475479126,1.5499999523162842,1.5,1.5192903280258179,-0.15710856127334402,6400,2075.8064516129034,2.200000047683716,0.5099999904632568,-27.04794970711117,1.7006674197413818,-6.721977629284346,89108,Technology,,Las Vegas,866 533 0065,NV,United States,Software - Application,,,none,,OQB
AVAV,91.55999755859376,83.83999633789062,91.66000366210938,88.55048394972279,0.1546858461979073,163500,170511.29032258064,96.05999755859376,81.04000091552734,4.501493697087229,8.19431060462859,-0.228334444397138,22202,Industrials,1403.0,Arlington,805 520 8350,VA,United States,Aerospace & Defense,0.07818,0.244,buy,2.898,NMS
AVGO,61.43349788615148,53.540184020996094,62.50522613525391,58.26129568776777,0.2512153345603881,22097000,22973887.096774194,63.18333844614703,53.20258865932088,9.03643270962928,40.24480770552202,31.82216265649629,94304,Technology,20000.0,Palo Alto,650 427 6000,CA,United States,Semiconductors,0.108830005,0.164,buy,27.019,NMS
AVNW,34.400001525878906,30.540000915527344,34.459999084472656,33.988709634350194,0.24076468450033103,34400,67780.64516129032,39.79999923706055,29.06999969482422,12.763822221737176,-5.598406390696044,-14.021051439721774,78728,Technology,909.0,Austin,408 941 7100,TX,United States,Communication Equipment,-0.011419999,0.017,buy,4.021,NMS
AVO,10.989999771118164,11.710000038146973,11.109999656677246,11.672903245495212,-0.09953382854914183,177600,123059.67741935483,12.710000038146973,9.8100004196167,-8.920398945483333,5.147995406912124,-3.274649642113604,93030,Consumer Defensive,3300.0,Oxnard,805 981 3650,CA,United States,Food Distribution,0.02056,0.239,buy,0.698,NMS
AVT,42.74597449511538,39.75768661499024,43.48678970336914,42.69768247296733,0.12920361812209846,437400,600932.2580645161,45.95220557663036,39.13632020670199,0.1493155745546641,6.261044061565886,-2.1616009874598427,85034,Technology,15462.0,Phoenix,480 643 2000,AZ,United States,Electronics & Computer Distribution,0.01513,-0.115,hold,3.077,NMS
AVXL,8.449999809265137,9.68000030517578,8.569999694824219,9.981129107936736,-0.20238331313554905,1544300,1193535.4838709678,11.925000190734863,8.25,-11.227341480347643,-13.558530989070633,-21.98117603809636,10111,Healthcare,40.0,New York,844 689 3939,NY,United States,Biotechnology,,,buy,1.636,NMS
AWCA,0.5099999904632568,0.3400000035762787,0.5099999904632568,0.3274628974256977,7.903628487040774,0,193.16129032258064,0.5099999904632568,0.100100003182888,8.729703725733145,31.131822464363346,22.709177415337617,33027,Real Estate,4.0,Miramar,855 795 3311,FL,United States,Real Estate Services,,1.696,none,0.002,PNK
